city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
九江,一中-九江前进西路与环湖路交汇处,110㎡,高层（共39层）,九江中奥广场,125万,江西,4室2厅,南北向,11364元/㎡,2018年建,https://jiujiang.esf.fang.com/chushou/3_389263643.htm
抚州,-抚州市玉茗大道西侧(迎宾大道与玉茗大道交汇处,50㎡,高层（共32层）,丰源宜合,42万,江西,1室1厅,西北向,8400元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201663.htm
抚州,-抚州市玉茗大道西侧(迎宾大道与玉茗大道交汇处,50㎡,高层（共32层）,丰源宜合,42万,江西,1室1厅,西北向,8400元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201663.htm
抚州,临川区,130.62㎡,高层（共11层）,伟星三期,86万,江西,3室2厅,南北向,6584元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201829.htm
抚州,临川区,130.62㎡,高层（共11层）,伟星三期,86万,江西,3室2厅,南北向,6584元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201829.htm
抚州,临川区,100.55㎡,高层（共6层）,赣东大道6号,55万,江西,2室2厅,南北向,5470元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201831.htm
抚州,临川区,100.55㎡,高层（共6层）,赣东大道6号,55万,江西,2室2厅,南北向,5470元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201831.htm
抚州,临川区,131.92㎡,中层（共7层）,临川上顿渡硕博楼,88万,江西,3室2厅,南北向,6671元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201832.htm
抚州,临川区,131.92㎡,中层（共7层）,临川上顿渡硕博楼,88万,江西,3室2厅,南北向,6671元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201832.htm
抚州,东乡县,116.8㎡,中层（共6层）,丽景花苑,70万,江西,3室2厅,南北向,5993元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201836.htm
抚州,东乡县,116.8㎡,中层（共6层）,丽景花苑,70万,江西,3室2厅,南北向,5993元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201836.htm
抚州,东乡县,120㎡,高层（共16层）,金水湾,92万,江西,3室2厅,南北向,7667元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201837.htm
抚州,东乡县,120㎡,高层（共16层）,金水湾,92万,江西,3室2厅,南北向,7667元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201837.htm
晋中,大学城,120㎡,中层（共32层）,晋中碧桂园,114万,山西,3室2厅,南北向,9500元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201945.htm
晋中,大学城,120㎡,中层（共32层）,晋中碧桂园,114万,山西,3室2厅,南北向,9500元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201945.htm
晋中,泰安路,122.34㎡,高层（共12层）,兴平家园,67万,山西,3室2厅,南北向,5477元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201946.htm
晋中,泰安路,122.34㎡,高层（共12层）,兴平家园,67万,山西,3室2厅,南北向,5477元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201946.htm
晋中,顺城路,136.5㎡,中层（共33层）,和平一号,82万,山西,3室2厅,南向,6007元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201935.htm
晋中,顺城路,136.5㎡,中层（共33层）,和平一号,82万,山西,3室2厅,南向,6007元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201935.htm
晋中,大学城,522㎡,高层（共4层）,军安小区,626万,山西,8室2厅,南北向,11992元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201947.htm
晋中,大学城,522㎡,高层（共4层）,军安小区,626万,山西,8室2厅,南北向,11992元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201947.htm
晋中,顺城路,116㎡,中层（共26层）,教苑小区,70万,山西,3室2厅,南北向,6034元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201950.htm
晋中,顺城路,116㎡,中层（共26层）,教苑小区,70万,山西,3室2厅,南北向,6034元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201950.htm
晋中,大学城,120㎡,中层（共33层）,晋中碧桂园,118万,山西,3室2厅,南北向,9833元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201953.htm
晋中,大学城,120㎡,中层（共33层）,晋中碧桂园,118万,山西,3室2厅,南北向,9833元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201953.htm
晋中,顺城路,114.8㎡,低层（共26层）,泰亨华庭,68万,山西,2室2厅,南北向,5923元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201952.htm
晋中,顺城路,114.8㎡,低层（共26层）,泰亨华庭,68万,山西,2室2厅,南北向,5923元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201952.htm
九江,浔阳-九江市区,117㎡,低层（共7层）,九江学区房,130万,江西,3室2厅,南向,11111元/㎡,,https://jiujiang.esf.fang.com/chushou/3_355807792.htm
九江,浔阳-九江市区,117㎡,低层（共7层）,九江学区房,130万,江西,3室2厅,南向,11111元/㎡,,https://jiujiang.esf.fang.com/chushou/3_355807792.htm
九江,开发区-开发区-八里湖长江大道与胜利大道的交汇处,130㎡,中层（共32层）,联泰万泰城,117万,江西,3室2厅,南北向,9000元/㎡,2018年建,https://jiujiang.esf.fang.com/chushou/3_395481565.htm
九江,开发区-开发区-八里湖长江大道与胜利大道的交汇处,130㎡,中层（共32层）,联泰万泰城,117万,江西,3室2厅,南北向,9000元/㎡,2018年建,https://jiujiang.esf.fang.com/chushou/3_395481565.htm
九江,浔阳-浔阳区 青年路 湖滨小区,92㎡,中层（共6层）,湖滨小区南区,95万,江西,3室2厅,南北向,10326元/㎡,2003年建,https://jiujiang.esf.fang.com/chushou/3_355809546.htm
九江,浔阳-浔阳区 青年路 湖滨小区,92㎡,中层（共6层）,湖滨小区南区,95万,江西,3室2厅,南北向,10326元/㎡,2003年建,https://jiujiang.esf.fang.com/chushou/3_355809546.htm
抚州,临川区,238㎡,高层（共5层）,伟星,139万,江西,5室2厅,南北向,5840元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201838.htm
抚州,临川区,238㎡,高层（共5层）,伟星,139万,江西,5室2厅,南北向,5840元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201838.htm
抚州,东乡县,41㎡,低层（共6层）,东景,120万,江西,1室0厅,南北向,29268元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201714.htm
抚州,东乡县,41㎡,低层（共6层）,东景,120万,江西,1室0厅,南北向,29268元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201714.htm
抚州,临川区,27㎡,低层（共6层）,瀚海龙蟠,17万,江西,1室0厅,北向,6296元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201840.htm
抚州,临川区,27㎡,低层（共6层）,瀚海龙蟠,17万,江西,1室0厅,北向,6296元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201840.htm
抚州,临川区,130㎡,中层（共21层）,铂金水岸,75万,江西,4室1厅,南北向,5769元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201841.htm
抚州,临川区,130㎡,中层（共21层）,铂金水岸,75万,江西,4室1厅,南北向,5769元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201841.htm
